sex,age,experience,managing,degree,web,back,web_mobile,ios,android,human,salary
0.0,22.0,3.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,25000.0
0.0,28.5,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,55000.0
0.0,28.5,6.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,42000.0
0.0,28.5,6.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,42000.0
0.0,22.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,25000.0
0.0,28.5,0.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,28622.0
0.0,32.0,1.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,21000.0
1.0,28.5,3.0,0.0,3.5,0.0,0.0,0.0,1.0,0.0,1,21000.0
1.0,25.0,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,35000.0
0.0,28.5,2.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,18000.0
0.0,35.5,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,90900.0
1.0,35.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,109000.0
0.0,38.5,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,38000.0
0.0,25.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,27000.0
0.0,25.0,3.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,29000.0
0.0,28.5,5.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0,1,52000.0
0.0,38.5,15.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1,42000.0
0.0,32.0,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,130000.0
0.0,38.5,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,23000.0
1.0,22.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,19200.0
1.0,35.5,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,40000.0
0.0,32.0,15.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,57600.0
0.0,25.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,25000.0
1.0,28.5,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,25000.0
1.0,22.0,1.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,18000.0
1.0,28.5,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,19929.0
0.0,28.5,8.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,37000.0
0.0,25.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,46500.0
0.0,25.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,46200.0
1.0,32.0,9.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,35.5,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,50000.0
1.0,28.5,3.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,24500.0
1.0,25.0,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,21000.0
0.0,32.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,33000.0
0.0,25.0,4.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,58000.0
0.0,32.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,27000.0
0.0,28.5,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,47000.0
0.0,32.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,33000.0
0.0,32.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,33000.0
0.0,22.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,22.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1,12000.0
0.0,35.5,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,8000.0
1.0,25.0,2.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,26400.0
1.0,35.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,47000.0
1.0,28.5,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,22000.0
0.0,35.5,15.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1,41000.0
0.0,28.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,32.0,7.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,40350.0
0.0,25.0,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,25000.0
0.0,32.0,9.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,42600.0
0.0,28.5,5.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,32000.0
0.0,35.5,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,28.5,9.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,72000.0
0.0,32.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,29000.0
0.0,38.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45500.0
0.0,28.5,6.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,33000.0
0.0,28.5,9.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,61000.0
0.0,32.0,15.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,59300.0
0.0,25.0,4.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,40000.0
0.0,25.0,1.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,27000.0
0.0,38.5,6.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,43000.0
0.0,28.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,32000.0
0.0,38.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,90000.0
0.0,25.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,28.5,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,50000.0
0.0,35.5,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,52000.0
0.0,38.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,51970.0
1.0,25.0,4.0,0.0,3.5,0.0,0.0,0.0,1.0,0.0,1,30800.0
1.0,22.0,2.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,13000.0
1.0,22.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,27000.0
0.0,28.5,6.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,70000.0
0.0,32.0,15.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,60000.0
0.0,28.5,7.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,60000.0
0.0,19.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,14000.0
0.0,28.5,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1,29600.0
0.0,25.0,7.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,46000.0
0.0,25.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,60000.0
0.0,28.5,9.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,59000.0
0.0,28.5,4.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,60000.0
0.0,28.5,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,41000.0
0.0,38.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,35000.0
0.0,32.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,75500.0
0.0,32.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,100000.0
0.0,38.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,112000.0
0.0,35.5,2.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,28700.0
0.0,28.5,15.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1,124000.0
0.0,28.5,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,34000.0
0.0,28.5,8.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,50000.0
0.0,32.0,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,95000.0
1.0,25.0,1.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,21350.0
0.0,32.0,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,67000.0
0.0,28.5,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,41000.0
1.0,25.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,51000.0
